State,Crop,Production (Lakh Tonnes)
Andaman And Nicobar Islands,Rice,0.05
Andhra Pradesh,Total Food Grains,113.69
Andhra Pradesh,Cereals,104.10
Andhra Pradesh,Nutri/Coarse Cereals,23.94
Andhra Pradesh,Maize,19.76
Andhra Pradesh,Sugarcane,18.60
Andhra Pradesh,Cotton,9.93
Andhra Pradesh,Total Pulses,9.59
Andhra Pradesh,Total Oil Seeds,4.24
Andhra Pradesh,Shree Anna /Nutri Cereals,4.18
Andhra Pradesh,Groundnut,3.83
Andhra Pradesh,Urad,3.62
Andhra Pradesh,Gram,3.07
Andhra Pradesh,Tur,1.70
Andhra Pradesh,Moong,0.57
Andhra Pradesh,Other Pulses,0.62
Andhra Pradesh,Castorseed,0.19
Andhra Pradesh,Small Millets,0.27
Andhra Pradesh,Soybean,0.08
Andhra Pradesh,Sesamum,0.08
Andhra Pradesh,Rapeseed & Mustard,0.01
Andhra Pradesh,Nigerseed,0.00
Andhra Pradesh,Sunflower,0.03
Arunachal Pradesh,Total Food Grains,3.92
Arunachal Pradesh,Cereals,3.77
Arunachal Pradesh,Maize,0.87
Arunachal Pradesh,Nutri/Coarse Cereals,1.16
Arunachal Pradesh,Rapeseed & Mustard,0.30
Arunachal Pradesh,Shree Anna /Nutri Cereals,0.29
Arunachal Pradesh,Total Oil Seeds,0.39
Arunachal Pradesh,Small Millets,0.28
Arunachal Pradesh,Total Pulses,0.15
Arunachal Pradesh,Other Pulses,0.10
Arunachal Pradesh,Soybean,0.05
Arunachal Pradesh,Tur,0.01
Arunachal Pradesh,Groundnut,0.01
Arunachal Pradesh,Sesamum,0.02
Arunachal Pradesh,Sunflower,0.01
Arunachal Pradesh,Ragi,0.29
Arunachal Pradesh,Lentil,0.00
Arunachal Pradesh,Nigerseed,0.00
Arunachal Pradesh,Safflower,0.00
Assam,Total Food Grains,55.56
Assam,Cereals,54.29
Assam,Rice,49.18
Assam,Maize,4.94
Assam,Jute,6.95
Assam,Nutri/Coarse Cereals,4.99
Assam,Total Oil Seeds,2.62
Assam,Rapeseed & Mustard,2.44
Assam,Total Pulses,1.27
Assam,Mesta,0.19
Assam,Urad,0.45
Assam,Other Pulses,0.41
Assam,Linseed,0.03
Assam,Sesamum,0.11
Assam,Nigerseed,0.03
Assam,Cotton,0.01
Assam,Shree Anna /Nutri Cereals,0.05
Bihar,Total Food Grains,208.86
Bihar,Cereals,204.85
Bihar,Rice,84.41
Bihar,Wheat,71.20
Bihar,Sugarcane,118.12
Bihar,Maize,49.01
Bihar,Nutri/Coarse Cereals,49.25
Bihar,Jute,7.79
Bihar,Total Pulses,4.01
Bihar,Rapeseed & Mustard,0.99
Bihar,Lentil,1.24
Bihar,Moong,1.21
Bihar,Mesta,0.74
Bihar,Gram,0.65
Bihar,Other Pulses,0.66
Bihar,Total Oil Seeds,1.21
Bihar,Urad,0.04
Bihar,Shree Anna /Nutri Cereals,0.09
Bihar,Sesamum,0.01
Bihar,Linseed,0.05
Bihar,Groundnut,0.00
Bihar,Safflower,0.00
Bihar,Castorseed,0.00
Bihar,Cotton,0.00
Bihar,Barley,0.15
Chhattisgarh,Total Food Grains,96.25
Chhattisgarh,Cereals,91.74
Chhattisgarh,Rice,85.35
Chhattisgarh,Nutri/Coarse Cereals,4.03
Chhattisgarh,Maize,3.83
Chhattisgarh,Total Pulses,4.51
Chhattisgarh,Gram,3.03
Chhattisgarh,Sugarcane,18.58
Chhattisgarh,Total Oil Seeds,0.79
Chhattisgarh,Other Pulses,0.95
Chhattisgarh,Rapeseed & Mustard,0.16
Chhattisgarh,Soybean,0.23
Chhattisgarh,Urad,0.25
Chhattisgarh,Sesamum,0.06
Chhattisgarh,Nigerseed,0.05
Chhattisgarh,Safflower,0.00
Chhattisgarh,Cotton,0.12
Chhattisgarh,Lentil,0.06
Chhattisgarh,Barley,0.00
Chhattisgarh,Jowar,0.00
Chhattisgarh,Small Millets,0.18
Chhattisgarh,Shree Anna /Nutri Cereals,0.19
Dadra And Nagar Haveli,Rice,0.36
Dadra And Nagar Haveli,Total Food Grains,0.38
Dadra And Nagar Haveli,Nutri/Coarse Cereals,0.02
Dadra And Nagar Haveli,Shree Anna /Nutri Cereals,0.02
Delhi,Total Food Grains,1.05
Delhi,Cereals,1.05
Delhi,Wheat,0.80
Delhi,Total Oil Seeds,0.07
Delhi,Nutri/Coarse Cereals,0.08
Delhi,Shree Anna /Nutri Cereals,0.07
